,0,100
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,11,14
15,10,15
16,9,16
17,17,17
18,7,18
19,6,19
20,5,20
21,4,21
22,3,22
23,23,23
24,1,24
25,25,25
26,26,26
27,23,27
28,28,28
29,21,29
30,20,30
31,19,31
32,18,32
33,17,33
34,16,34
35,35,35
36,14,36
37,13,37
38,12,38
39,11,39
40,40,40
41,9,41
42,8,42
43,7,43
44,44,44
45,5,45
46,4,46
47,3,47
48,2,48
49,1,49
50,50,50
51,49,51
52,48,52
53,47,53
54,46,54
55,45,55
56,44,56
57,43,57
58,42,58
59,41,59
60,40,60
61,39,61
62,38,62
63,37,63
64,36,64
65,35,65
66,34,66
67,33,67
68,32,68
69,31,69
70,30,70
71,29,71
72,28,72
73,27,73
74,26,74
75,25,75
76,24,76
77,23,77
78,22,78
79,21,79
80,20,80
81,19,81
82,18,82
83,17,83
84,16,84
85,15,85
86,14,86
87,13,87
88,12,88
89,11,89
90,10,90
91,9,91
92,8,92
93,7,93
94,6,94
95,5,95
96,4,96
97,3,97
98,2,98
99,1,99
100,0,100
